genres,keywords,production_companies,tagline,title,cast,director
Drama,royal court overbearing father harpsichord 18th century,"[{""name"": ""Les Films Alyne"", ""id"": 13907}]", ,Mozart's Sister,Marie F\u00e9ret Marc Barb\u00e9 Delphine Chuillot David Moreau,Ren\u00e9 F\u00e9ret
Comedy Drama,prison sport amateur soccer soccer coach,"[{""name"": ""SKA Films"", ""id"": 13419}]","It's Not Just About Football, It's About Pride Inside!",Mean Machine,Vinnie Jones David Kelly David Hemmings Ralph Brown Vas Blackwood,Barry Skolnick
Action Crime Thriller, ,"[{""name"": ""Media Asia Films"", ""id"": 5552}, {""name"": ""Milky Way Image Company"", ""id"": 5632}]", ,Exiled,Anthony Wong Francis Ng Simon Yam Nick Cheung Richie Ren,Johnnie To
Adventure Action Western,robbery miner treachery sundance kid native peoples,"[{""name"": ""Quickfire Films"", ""id"": 4186}, {""name"": ""Televisi\u00f3n Espa\u00f1ola (TVE)"", ""id"": 6639}, {""name"": ""Arcadia Motion Pictures"", ""id"": 7543}, {""name"": ""Noodles Production"", ""id"": 7792}, {""name"": ""Canal+ Espa\u00f1a"", ""id"": 9335}, {""name"": ""Instituto de la Cinematograf\u00eda y de las Artes Audiovisuales (ICAA)"", ""id"": 9974}, {""name"": ""Instituto de Cr\u00e9dito Oficial (ICO)"", ""id"": 11427}, {""name"": ""ONO"", ""id"": 40789}, {""name"": ""Ariane Marar\u00eda Films"", ""id"": 53194}, {""name"": ""Nix Films"", ""id"": 53195}, {""name"": ""Eter Pictures"", ""id"": 53196}, {""name"": ""Manto Films"", ""id"": 53197}, {""name"": ""Pegaso Producciones"", ""id"": 53198}, {""name"": ""Ibermedia European Community Program"", ""id"": 53199}, {""name"": ""Audiovisual Aval SGR"", ""id"": 53200}]",No destiny,Blackthorn,Sam Shepard Magaly Solier Eduardo Noriega Stephen Rea Daniel Aguirre,Mateo Gil
Crime Drama,suicide sex sweden underground nightclub,"[{""name"": ""Det Danske Filminstitut"", ""id"": 118}, {""name"": ""Memfis Film"", ""id"": 321}, {""name"": ""Film i V\u00e4st"", ""id"": 17513}]", ,Lilya 4-ever,Oksana Akinshina Artyom Bogucharsky Lyubov Agapova Liliya Shinkaryova Elina Benenson,Lukas Moodysson
Drama Horror Mystery Thriller,wheelchair nightmare funeral injection crying,"[{""name"": ""Plum Pictures"", ""id"": 2224}, {""name"": ""Harbor Light Entertainment"", ""id"": 6020}, {""name"": ""Lleju Productions"", ""id"": 12410}]",Life is the symptom. Death is the cure.,After.Life,Liam Neeson Justin Long Christina Ricci Josh Charles Chandler Canterbury,Agnieszka Wojtowicz-Vosloo
Comedy Drama Thriller, ,[], ,Fugly,Jimmy Shergill Mohit Marwah Kiara Advani Vijendar Singh Arfi Lamba,Kabir Sadanand
Drama,individual rebel self-destruction wheelchair lunatic asylum,"[{""name"": ""United Artists"", ""id"": 60}, {""name"": ""Fantasy Films"", ""id"": 286}, {""name"": ""Warner Bros."", ""id"": 6194}]","If he's crazy, what does that make you?",One Flew Over the Cuckoo's Nest,Jack Nicholson Louise Fletcher Danny DeVito William Redfield Scatman Crothers,Milo\u0161 Forman
Comedy Horror, ,"[{""name"": ""EveryWhere Studios"", ""id"": 68467}]", ,R.L. Stine's Monsterville: The Cabinet of Souls,Dove Cameron Katherine McNamara Ryan McCartan Laine MacNeil Briana Buckmaster,Peter DeLuise
Comedy,screenplay stuntman slapstick mime hollywood,"[{""name"": ""Crossbow Productions"", ""id"": 1296}]", ,Silent Movie,Mel Brooks Marty Feldman Dom DeLuise Sid Caesar Harold Gould,Mel Brooks
Thriller Action Drama History,evacuation war based on true story iraq war,"[{""name"": ""T-Series"", ""id"": 3522}, {""name"": ""Hari Om Entertainment Co."", ""id"": 3942}, {""name"": ""Cape Of Good Films"", ""id"": 35063}]","170,000 Refugees, 488 Flights, 59 Days, 1 Man",Airlift,Akshay Kumar Nimrat Kaur Feryna Wazheir Lena Purab Kohli,Raja Menon
Drama Family,based on novel brother sister relationship canada village love,"[{""name"": ""Sullivan Entertainment"", ""id"": 12296}]", ,Anne of Green Gables,Megan Follows Colleen Dewhurst Richard Farnsworth Patricia Hamilton Marilyn Lightstone,Kevin Sullivan
Adventure Action,yakuza marine fighting,"[{""name"": ""Strohberry Films"", ""id"": 39075}]", ,Falcon Rising,Michael Jai White Neal McDonough Lateef Crowder Laila Ali Hazuki Kato,Ernie Barbarash
Action Drama Crime,british based on tv series,"[{""name"": ""Vertigo Films"", ""id"": 10393}, {""name"": ""Exponential Films"", ""id"": 10896}, {""name"": ""Embargo Films"", ""id"": 22789}]",Act like a criminal to catch a criminal.,The Sweeney,Ray Winstone Ben Drew Hayley Atwell Damian Lewis Alan Ford,Nick Love
Crime Drama Thriller,spain sex nudity psychopath murder,"[{""name"": ""Fox Searchlight Pictures"", ""id"": 43}, {""name"": ""Kanzaman"", ""id"": 4169}, {""name"": ""Filmfour"", ""id"": 6705}, {""name"": ""Recorded Picture Company (RPC)"", ""id"": 11561}]",There's a bit of the beast in all of us.,Sexy Beast,Ray Winstone Ben Kingsley Ian McShane Amanda Redman James Fox,Jonathan Glazer
Drama Thriller Crime,consignment,"[{""name"": ""Tre V\u00e4nner Produktion AB"", ""id"": 11792}, {""name"": ""Swedish Film Institute"", ""id"": 14804}, {""name"": ""Film i V\u00e4st"", ""id"": 17513}]", ,Easy Money,Joel Kinnaman Matias Varela Dragomir Mrsic Lisa Henni Mahmut Suvakci,Daniel Espinosa
Drama Family,ocean loss of mother tradition loss of brother becoming an adult,"[{""name"": ""South Pacific Pictures"", ""id"": 654}]", ,Whale Rider,Keisha Castle-Hughes Rawiri Paratene Vicky Haughton Cliff Curtis Grant Roa,Niki Caro
Drama Family Foreign, ,"[{""name"": ""A B Corp"", ""id"": 4502}]", ,Paa,Amitabh Bachchan Abhishek Bachchan Vidya Balan Paresh Rawal Arundathi Nag, 
Thriller Mystery Science Fiction,space colony space travel simulated reality  spaceship suspense,"[{""name"": ""Telepool"", ""id"": 823}, {""name"": ""Atlantis Pictures"", ""id"": 5564}, {""name"": ""Schweizerische Radio- und Fernsehgesellschaft (SRG)"", ""id"": 23072}, {""name"": ""Ascot Elite Entertainment Group"", ""id"": 26025}, {""name"": ""Egli Film"", ""id"": 26026}, {""name"": ""Teleclub AG"", ""id"": 26027}, {""name"": ""Centauri Media"", ""id"": 26029}]", ,Cargo,Martin Rapold Anna-Katharina Schwabroh Regula Grauwiller Yangzom Brauen Michael Finger,Ivan Engler
Comedy Drama Family Music TV Movie,becoming an adult musical music high school school performance,"[{""name"": ""Disney Channel"", ""id"": 3213}]",This School Rocks Like No Other!,High School Musical,Zac Efron Vanessa Hudgens Ashley Tisdale Lucas Grabeel Corbin Bleu,Kenny Ortega
Drama Romance Foreign,obsession love obsessive love actor,"[{""name"": ""Arts Council of England"", ""id"": 718}, {""name"": ""British Broadcasting Corporation (BBC)"", ""id"": 3324}, {""name"": ""British Screen Productions"", ""id"": 20777}]", ,Love and Death on Long Island,John Hurt Jason Priestley Sheila Hancock Maury Chaykin Fiona Loewi,Richard Kwietniowski
Fantasy Action Thriller,witch subway fight airplane owl,"[{""name"": ""Bazelevs Production"", ""id"": 1038}, {""name"": ""Channel One Russia"", ""id"": 1039}, {""name"": ""TABBAK"", ""id"": 1040}, {""name"": ""The First Channel"", ""id"": 1272}]",All That Stands Between Light And Darkness Is The Night Watch.,Night Watch,Konstantin Khabenskiy Vladimir Menshov Galina Tyunina Mariya Poroshina Zhanna Friske,Timur Bekmambetov
Romance Crime Drama Thriller,transvestism gay hostage love of one's life northern ireland,"[{""name"": ""Miramax Films"", ""id"": 14}, {""name"": ""Channel Four Films"", ""id"": 181}, {""name"": ""Palace Pictures"", ""id"": 927}, {""name"": ""Nippon Film Development and Finance Inc."", ""id"": 1202}, {""name"": ""Eurotrustees"", ""id"": 8876}, {""name"": ""British Screen Productions"", ""id"": 12745}]",Play At Your Own Risk.,The Crying Game,Stephen Rea Jaye Davidson Miranda Richardson Forest Whitaker Adrian Dunbar,Neil Jordan
Comedy,male nudity female nudity sex florida virgin,"[{""name"": ""Melvin Simon Productions"", ""id"": 2124}, {""name"": ""Astral Bellevue Path\u00e9"", ""id"": 10313}]",Keep an eye out for the funniest movie about growing up ever made!,Porky's,Dan Monahan Mark Herrier Wyatt Knight Cyril O'Reilly Kaki Hunter,Bob Clark
Horror Science Fiction,zombie,"[{""name"": ""Devonshire Productions"", ""id"": 2391}, {""name"": ""Artfire Films"", ""id"": 3240}, {""name"": ""New Romero"", ""id"": 6741}, {""name"": ""Sudden Storm Productions"", ""id"": 6742}, {""name"": ""Blank of the Dead Productions"", ""id"": 23588}]",Death isn't what it used to be.,Survival of the Dead,Alan van Sprang Kenneth Welsh Kathleen Munroe Devon Bostick Richard Fitzpatrick,George A. Romero
Horror,brother sister relationship cemetery gun gas station loss of father,"[{""name"": ""Laurel Group"", ""id"": 638}, {""name"": ""Off Color Films"", ""id"": 3139}, {""name"": ""Image Ten"", ""id"": 14121}, {""name"": ""Market Square Productions"", ""id"": 14122}]","If it doesn't scare you, you're already dead!",Night of the Living Dead,Duane Jones Judith O'Dea Karl Hardman Marilyn Eastman Keith Wayne,George A. Romero
Drama,upper class hotel room age difference commercial karaoke,"[{""name"": ""American Zoetrope"", ""id"": 70}]",Everyone wants to be found.,Lost in Translation,Bill Murray Scarlett Johansson Anna Faris Giovanni Ribisi Akiko Takeshita,Sofia Coppola
Comedy Drama Romance,narration neurosis comedian job interview love,"[{""name"": ""United Artists"", ""id"": 60}]",A nervous romance.,Annie Hall,Woody Allen Diane Keaton Tony Roberts Carol Kane Paul Simon,Woody Allen
Action Drama Romance,circus travelling circus,"[{""name"": ""Paramount Pictures"", ""id"": 4}]", ,The Greatest Show on Earth,Betty Hutton Cornel Wilde Charlton Heston Dorothy Lamour Gloria Grahame,Cecil B. DeMille
Drama Romance,southern usa waitress parents kids relationship overweight child loss of child,"[{""name"": ""Lions Gate Films"", ""id"": 35}, {""name"": ""Lee Daniels Entertainment"", ""id"": 695}]",A lifetime of change can happen in a single moment.,Monster's Ball,Halle Berry Billy Bob Thornton Heath Ledger Sean Combs Coronji Calhoun,Marc Forster
Horror,post-apocalyptic dystopia zombie,"[{""name"": ""Lionsgate"", ""id"": 1632}, {""name"": ""Grindstone Entertainment Group"", ""id"": 3604}, {""name"": ""Silver Reel"", ""id"": 12075}, {""name"": ""Sly Predator"", ""id"": 52924}, {""name"": ""Matt Baer Films"", ""id"": 52925}, {""name"": ""Gold Star Films"", ""id"": 68506}, {""name"": ""Lotus Entertainment (I)"", ""id"": 74208}]",Don't Get Bitten,Maggie,Arnold Schwarzenegger Abigail Breslin Joely Richardson Douglas M. Griffin J.D. Evermore,Henry Hobson
Drama Romance,individual prostitute alcohol casino love at first sight,"[{""name"": ""United Artists"", ""id"": 60}, {""name"": ""Intial Productions"", ""id"": 15547}]",I Love You... The Way You Are.,Leaving Las Vegas,Nicolas Cage Elisabeth Shue Julian Sands Richard Lewis Steven Weber,Mike Figgis
Horror Comedy,witch marijuana succubus power company cannibalism,"[{""name"": ""Tribeca Productions"", ""id"": 11391}]", ,Hansel and Gretel Get Baked,Molly C. Quinn Michael Welch Lara Flynn Boyle Cary Elwes Lochlyn Munro,Duane Journey
Romance Drama Comedy,chicago journalist newspaper marriage proposal stress,"[{""name"": ""Universal Studios"", ""id"": 13}]", ,The Front Page,Jack Lemmon Walter Matthau Susan Sarandon Vincent Gardenia David Wayne,Billy Wilder
Thriller,male nudity female nudity sex adultery infidelity,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Nuyorican Productions"", ""id"": 1620}, {""name"": ""Blumhouse Productions"", ""id"": 3172}, {""name"": ""Smart Entertainment"", ""id"": 44783}]",A Moment She Couldn't Resist. An Obsession He Can't Control.,The Boy Next Door,Jennifer Lopez Ryan Guzman Ian Nelson John Corbett Kristin Chenoweth,Rob Cohen
Drama,circus trapeze artist,"[{""name"": ""Joanna Productions"", ""id"": 5799}]","High...High...High...Above Them All! - in excitement! - in spectacle! - in fire, flesh and fury!",Trapeze,Burt Lancaster Tony Curtis Gina Lollobrigida Katy Jurado Thomas Gomez,Carol Reed
Comedy Drama,lesbian relationship lesbian dinner motorcycle argument,"[{""name"": ""Mandalay Vision"", ""id"": 6667}, {""name"": ""10th Hole Productions"", ""id"": 6691}, {""name"": ""Focus Features"", ""id"": 10146}, {""name"": ""Gilbert Films"", ""id"": 10161}, {""name"": ""Saint Aire Production"", ""id"": 23910}, {""name"": ""Artist International"", ""id"": 23911}, {""name"": ""Antidote Films (I)"", ""id"": 23912}, {""name"": ""Artist International Management"", ""id"": 23913}]","Nic and Jules had the perfect family, until they met the man who made it all possible.",The Kids Are All Right,Julianne Moore Annette Bening Mark Ruffalo Mia Wasikowska Josh Hutcherson,Lisa Cholodenko
Action Horror Science Fiction Thriller,dystopia social commentary alien invasion sunglasses brawl,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Alive Films"", ""id"": 17823}, {""name"": ""Larry Franco Productions"", ""id"": 17824}]",Who are they? And what do they want?,They Live,Roddy Piper Keith David Meg Foster George Buck Flower Peter Jason,John Carpenter
Adventure Drama History Thriller War,based on novel optimism switzerland baseball famous score,"[{""name"": ""United Artists"", ""id"": 60}, {""name"": ""The Mirisch Corporation"", ""id"": 219}]",Put a fence in front of these men... and they'll climb it!,The Great Escape,Steve McQueen James Garner Richard Attenborough James Donald Charles Bronson,John Sturges
Documentary,alternate dimension new age parallel world pseudoscience theology,"[{""name"": ""Lord of the Wind"", ""id"": 2453}]",Time to get wise.,What the #$*! Do We (K)now!?,Marlee Matlin Elaine Hendrix Robert Blanche John Ross Bowie Robert Bailey Jr.,William Arntz
Horror Thriller,found footage,"[{""name"": ""StudioCanal"", ""id"": 694}, {""name"": ""CBS Films"", ""id"": 5490}]",The second coming,The Last Exorcism Part II,Ashley Bell Julia Garner Andrew Sensenig Spencer Treat Clark Judd Lormand,Ed Gass-Donnelly
Drama,daily life family's daily life urban life growing up domestic abuse,"[{""name"": ""IFC Films"", ""id"": 307}, {""name"": ""Detour Filmproduction"", ""id"": 11510}]",12 years in the making.,Boyhood,Ellar Coltrane Patricia Arquette Ethan Hawke Elijah Smith Lorelei Linklater,Richard Linklater
Comedy Mystery,upper class prostitute journalist drowning newspaper,"[{""name"": ""BBC Films"", ""id"": 288}, {""name"": ""Ingenious Film Partners"", ""id"": 289}, {""name"": ""Ingenious Media"", ""id"": 290}, {""name"": ""Perdido Prod."", ""id"": 291}]",The perfect man. The perfect story. The perfect murder.,Scoop,Scarlett Johansson Hugh Jackman Woody Allen Ian McShane Kevin McNally,Woody Allen
Action Comedy,sex fight music illegal drug black american stereotype,"[{""name"": ""Lionsgate"", ""id"": 1632}]","When you're down 'n dirty, it all comes out in...",The Wash,Dr. Dre Snoop Dogg DJ Pooh Angell Conwell Bruce Bruce,DJ Pooh
Action Comedy Romance,sport,[],"the few, the proud, the paroled.",3 Strikes,Brian Hooks N'Bushe Wright Faizon Love E-40 Starletta DuPois,DJ Pooh
Drama Romance,casino jinx bad luck,"[{""name"": ""ContentFilm"", ""id"": 1420}, {""name"": ""Pierce/Williams Entertainment"", ""id"": 18621}]",When your life depends on losing... the last thing you need is lady luck.,The Cooler,William H. Macy Alec Baldwin Maria Bello Shawn Hatosy Paul Sorvino,Wayne Kramer
Drama Action Romance,decision reno mustang falling in love divorce,"[{""name"": ""United Artists"", ""id"": 60}, {""name"": ""Seven Arts Productions"", ""id"": 516}]",It shouts and sings with life ... explodes with love!,The Misfits,Clark Gable Marilyn Monroe Montgomery Clift Thelma Ritter Eli Wallach,John Huston
Drama Thriller,radio station radio presenter radio transmission independent film,"[{""name"": ""Miramax Films"", ""id"": 14}, {""name"": ""IFC Films"", ""id"": 307}, {""name"": ""Fortissimo Films"", ""id"": 1615}]",You never know who's listening.,The Night Listener,Toni Collette Robin Williams Joe Morton Bobby Cannavale Rory Culkin,Patrick Stettner
Comedy Crime,new york telephone joke gangster,"[{""name"": ""Caravan Pictures"", ""id"": 175}, {""name"": ""Touchstone Pictures"", ""id"": 9195}]", ,The Jerky Boys,John G. Brennan Kamal Ahmed Alan Arkin William Hickey Vincent Pastore,James Melkonian
Horror Drama Thriller,schizophrenia suppressed past wife,"[{""name"": ""Wild Bunch"", ""id"": 856}, {""name"": ""Telecinco"", ""id"": 1182}, {""name"": ""Telecinco Cinema"", ""id"": 2674}, {""name"": ""Televisi\u00f3 de Catalunya TV3"", ""id"": 6778}, {""name"": ""Esta Vivo! Laboratorio de Nuevos Talentos"", ""id"": 11649}, {""name"": ""Grupo Rodar"", ""id"": 11650}, {""name"": ""Rodar y Rodar Cine y Televisi\u00f3n"", ""id"": 11651}, {""name"": ""Warner Bros. Pictures de Espa\u00f1a"", ""id"": 11652}]",A tale of love.  A story of horror.,The Orphanage,Bel\u00e9n Rueda Fernando Cayo Roger Pr\u00edncep Mabel Rivera Montserrat Carulla,Juan Antonio Bayona
Comedy Horror,haunted house,"[{""name"": ""Automatik Entertainment"", ""id"": 7625}, {""name"": ""Open Road Films"", ""id"": 10427}]",It'll scare the #2 out of you.,A Haunted House 2,Marlon Wayans Jaime Pressly Essence Atkins Gabriel Iglesias Missi Pyle,Michael Tiddes
Comedy Drama Romance,love triangle independent film multiple storylines,"[{""name"": ""Kingsgate Films"", ""id"": 770}]",We all run on instinct,The Rules of Attraction,James Van Der Beek Shannyn Sossamon Ian Somerhalder Jessica Biel Kate Bosworth,Roger Avary
Action Drama Mystery Thriller,new york cia cuba cold war suspense,"[{""name"": ""Universal Pictures"", ""id"": 33}]",Hitchcock takes you behind the actual headlines to expose the most explosive spy scandal of the century!,Topaz,Frederick Stafford Dany Robin Claude Jade Michel Subor Karin Dor,Alfred Hitchcock
Comedy Crime,loss of father condom vulgar parole board alcohol abuse,"[{""name"": ""Universal Pictures"", ""id"": 33}]",Welcome to the slammer,Let's Go to Prison,Dax Shepard Will Arnett Chi McBride David Koechner Dylan Baker,Bob Odenkirk
Crime Comedy,hotel new year's eve witch bet hotel room,"[{""name"": ""Miramax Films"", ""id"": 14}, {""name"": ""A Band Apart"", ""id"": 59}]","Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",Four Rooms,Tim Roth Antonio Banderas Jennifer Beals Madonna Marisa Tomei,Allison Anders
Comedy Drama Romance,suicide clerk fetish sadomasochism lawyer,"[{""name"": ""Slough Pond"", ""id"": 4730}, {""name"": ""double A Films"", ""id"": 4731}]",Assume the position.,Secretary,James Spader Maggie Gyllenhaal Jeremy Davies Lesley Ann Warren Stephen McHattie,Steven Shainberg
Documentary,independent film,[], ,The Real Cancun,Laura Ramsey,Rick de Oliveira
Drama,anonymity radio presenter success dangerous radio transmission,"[{""name"": ""Cineplex-Odeon Films"", ""id"": 5231}, {""name"": ""Ten-Four Productions"", ""id"": 8814}]",The last neighborhood in America.,Talk Radio,Eric Bogosian Ellen Greene Leslie Hope John C. McGinley Alec Baldwin,Oliver Stone
Music Comedy,missouri independent film mechanic in the closet mockumentary,"[{""name"": ""Sony Pictures Classics"", ""id"": 58}, {""name"": ""Castle Rock Entertainment"", ""id"": 97}, {""name"": ""Pale Morning Dun"", ""id"": 8841}, {""name"": ""All Night Productions"", ""id"": 8842}]",There's a good reason some talent remains undiscovered.,Waiting for Guffman,Christopher Guest Eugene Levy Fred Willard Catherine O'Hara Michael Hitchcock,Christopher Guest
Comedy Romance,behind the scenes spa planetarium art imitates life,[], ,Love Stinks,French Stewart Bridgette Wilson Bill Bellamy Tyra Banks Tiffani Thiessen,Jeff Franklin
Comedy Crime Thriller Romance,new york san francisco alcoholism serial killer alcoholic,"[{""name"": ""Echo Lake Productions"", ""id"": 2147}, {""name"": ""Bi-polar Pictures"", ""id"": 2332}, {""name"": ""Code Entertainment"", ""id"": 14589}, {""name"": ""Independent Film Group"", ""id"": 35444}, {""name"": ""Carol Baum Productions"", ""id"": 35445}, {""name"": ""Dillinger Productions"", ""id"": 35446}, {""name"": ""Green Tulip Productions"", ""id"": 35447}]",Professional alcoholic hit man gets life back on track thanks to her,You Kill Me,Ben Kingsley T\u00e9a Leoni Luke Wilson Bill Pullman Dennis Farina,John Dahl
Comedy Drama,becoming an adult thumb first time hypnosis thumb sucking,"[{""name"": ""Sony Pictures Classics"", ""id"": 58}, {""name"": ""Bob Yari Productions"", ""id"": 12260}]", ,Thumbsucker,Lou Taylor Pucci Tilda Swinton Vincent D'Onofrio Keanu Reeves Benjamin Bratt,Mike Mills
Horror Action Thriller,christianity homophobia pastor protest christian,"[{""name"": ""The Harvey Boys"", ""id"": 7784}, {""name"": ""NVSH Productions"", ""id"": 7785}, {""name"": ""Phase 4 Films"", ""id"": 9081}]",Fear God.,Red State,Michael Parks John Goodman Melissa Leo Michael Angarano Kyle Gallner,Kevin Smith
Fantasy,fictional place dream fantasy,"[{""name"": ""Destination Films"", ""id"": 769}, {""name"": ""Jim Henson Company, The"", ""id"": 6254}]",The Other Side of Reason. The Other Side of Fate. The Other Side of Truth.,Mirrormask,Stephanie Leonidas Jason Barry Rob Brydon Gina McKee Dora Bryan,Dave McKean
Drama Documentary,eating around the world fast motion scene balance skyline,"[{""name"": ""Magidson Films"", ""id"": 10986}]", ,Samsara,Marcos Luna Putu Dinda Pratika Puti Sri Candra Dewi Ni Made Megahadi Pratiwi,Ron Fricke
Fantasy Adventure,dragon barbarian,"[{""name"": ""Cannon Films"", ""id"": 4110}]",Warriors. Conquerors. Heroes.,The Barbarians,Peter Paul David Paul Richard Lynch Eva LaRue Virginia Bryant,Ruggero Deodato
Drama Romance,philosophy mentor artist painting friendship,"[{""name"": ""Goldcrest Films International"", ""id"": 500}, {""name"": ""Atlantic Pictures"", ""id"": 5387}, {""name"": ""Gigi Productions"", ""id"": 7499}]",The toughest lesson is love.,The Art of Getting By,Freddie Highmore Emma Roberts Michael Angarano Elizabeth Reaser Alicia Silverstone,Gavin Wiesen
Thriller Drama,woman director,"[{""name"": ""Protozoa Pictures"", ""id"": 7503}, {""name"": ""Cargo Entertainment"", ""id"": 34380}, {""name"": ""33 Pictures"", ""id"": 60171}]",Why take the risk,Zipper,Patrick Wilson Lena Headey Richard Dreyfuss Ray Winstone John Cho,Mora Stephens
Comedy Drama Thriller,hustler independent film pool,"[{""name"": ""Gold Circle Films"", ""id"": 12026}]",It's your shot. Take it.,Poolhall Junkies,Ricky Schroder Chazz Palminteri Rod Steiger Michael Rosenbaum Mars Callahan,Mars Callahan
Drama, ,"[{""name"": ""Summit Entertainment"", ""id"": 491}, {""name"": ""Newmarket Capital Group"", ""id"": 506}, {""name"": ""Red Mullet Productions"", ""id"": 24827}]", ,The Loss of Sexual Innocence,Julian Sands Saffron Burrows Justin Chadwick Stefano Dionisi Kelly Macdonald,Mike Figgis
Drama Fantasy,limousine multiple identities wig penis talking car,"[{""name"": ""Pandora Filmproduktion"", ""id"": 254}, {""name"": ""Canal+"", ""id"": 5358}]","From dawn to dusk, a few hours in the shadowy life of a mystic man named Monsieur Oscar.",Holy Motors,Eva Mendes Kylie Minogue Michel Piccoli Edith Scob Denis Lavant,Leos Carax
Drama,child abuse prostitute bar brothel snake,"[{""name"": ""Worldview Entertainment"", ""id"": 9015}, {""name"": ""Muskat Filmed Properties"", ""id"": 10989}, {""name"": ""Dreambridge Films"", ""id"": 14037}, {""name"": ""Rough House Pictures"", ""id"": 20848}]", ,Joe,Nicolas Cage Tye Sheridan Ronnie Gene Blevins Sue Rock Heather Kafka,David Gordon Green
Crime Comedy Romance,london england nightclub chase fraud liar,"[{""name"": ""Arts Council of England"", ""id"": 718}, {""name"": ""National Lottery"", ""id"": 1270}, {""name"": ""Gruber Bros."", ""id"": 4413}, {""name"": ""Tomboy Films"", ""id"": 24356}, {""name"": ""Winchester Multimedia PLC"", ""id"": 36978}]",Fat cats are too easy. Go for the big fish.,Shooting Fish,Dan Futterman Stuart Townsend Kate Beckinsale Rowena Cooper Scott Charles,Stefan Schwartz
Crime Drama Horror Thriller,prison prisoner revenge haunting electric chair,"[{""name"": ""Empire Pictures"", ""id"": 1212}]",Horror Has A New Home.,Prison,Viggo Mortensen Chelsea Field Lane Smith Lincoln Kilpatrick Tom Everett,Renny Harlin
Comedy,gay dancing detective confession beach,"[{""name"": ""New Oz Productions"", ""id"": 7055}, {""name"": ""Red Horse Films"", ""id"": 7056}]",Party till you drop. Dead.,Psycho Beach Party,Lauren Ambrose Nicholas Brendon Amy Adams Charles Busch Thomas Gibson,Robert Lee King
Comedy Foreign,hairdresser hairstylist,[],He saw. He combed. He conquered.,The Big Tease,Craig Ferguson David Rasche Mary McCormack Donal Logue Nina Siemaszko,Kevin Allen
Drama,germany mexican,"[{""name"": ""Eficine 226"", ""id"": 8685}, {""name"": ""Beanca Films"", ""id"": 15877}, {""name"": ""Fondo de Inversi\u00f3n y Est\u00edmulos al Cine (FIDECINE)"", ""id"": 15878}, {""name"": ""MPN Cologne Film 3"", ""id"": 18715}]", ,"Guten Tag, Ramón",Adriana Barraza R\u00fcdiger Evers Hector Kotsifakis Franziska Kruse Arcelia Ram\u00edrez,Jorge Ram\u00edrez Su\u00e1rez
Crime Drama Thriller,rape obsession lie job independent film,"[{""name"": ""Nu Image Films"", ""id"": 925}, {""name"": ""Millennium Films"", ""id"": 10254}, {""name"": ""Dark Harbor Stories"", ""id"": 65129}]","What took her family years to build, a stranger stole in an instant.",Trust,Clive Owen Catherine Keener Liana Liberato Jason Clarke Viola Davis,David Schwimmer
Comedy Crime,toupee scalper,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""Baltimore Spring Creek Productions"", ""id"": 16061}, {""name"": ""Bayahibe Films Ltd."", ""id"": 16062}]",Piece on Earth.,An Everlasting Piece,Barry McEvoy Br\u00edan F. O'Byrne Anna Friel Pauline McLynn Ruth McCabe,Barry Levinson
Comedy Romance,yorkshire love friends,"[{""name"": ""Arts Council of England"", ""id"": 718}, {""name"": ""British Broadcasting Corporation (BBC)"", ""id"": 3324}, {""name"": ""British Screen Productions"", ""id"": 20777}]","a love story from the writer of ""The Full Monty"".",Among Giants,Pete Postlethwaite Rachel Griffiths Andy Serkis Lennie James James Thornton,Sam Miller
Drama,lovers woman director,"[{""name"": ""Gaumont"", ""id"": 9}, {""name"": ""Cin\u00e9@"", ""id"": 2564}, {""name"": ""Canal+"", ""id"": 5358}, {""name"": ""Screen Australia"", ""id"": 7584}, {""name"": ""Screen NSW"", ""id"": 10951}, {""name"": ""France T\u00e9l\u00e9visions"", ""id"": 11795}, {""name"": ""France 2 Cin\u00e9ma"", ""id"": 15671}, {""name"": ""Hopscotch Features"", ""id"": 21079}, {""name"": ""Mon Voisin Productions"", ""id"": 22983}]", ,Adore,Naomi Watts Robin Wright Xavier Samuel James Frecheville Ben Mendelsohn,Anne Fontaine
Drama Romance, ,"[{""name"": ""Ventanarosa Productions"", ""id"": 689}, {""name"": ""Cineville"", ""id"": 2832}, {""name"": ""Columbia TriStar Home Video"", ""id"": 20873}, {""name"": ""Dan Lupovitz Productions"", ""id"": 80578}]",*(Not His Real Name),The Velocity of Gary,Vincent D'Onofrio Salma Hayek Thomas Jane Olivia d'Abo,Dan Ireland
